communityname,state,countyCode,communityCode,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumB,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Newbergcity,OR,?,?,1,13086,2.88,0.24,96.06,1.28,6.14,16.23,29.02,14.85,11.41,0,0,26974,77.97,0.81,39.62,24.43,5.79,14.86,30683,11413,11515,9739,14113,11047,6062,5636,1320,10.71,7.77,20.89,18.81,4.35,64.72,25.9,22.35,15.83,22.66,9.61,27.29,13.14,11.49,3.16,72.8,71.79,87.7,80.1,65.5,68.88,106,1.06,591,13.71,35.36,40.78,45.01,0.62,1.6,1.84,2.03,92.51,1.64,5.38,4.01,2.71,2.77,2.62,60.04,4.16,45.39,3,131,97.2,58.7,1.53,21.37,1972,4.78,0.47,48500,59200,72100,23600,265,348,400,135,411,24.3,20.8,12.5,18,0,4.52,48.16,38.74,65.68,84.94,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.3,3015.2,0.68,?,?,?,?,0,?,0,0,5,33.58,3,20.15,27,181.32,91,611.11,527,3539.05,28,188.03,6,40.29,235.04,4378.48
Readingcity,PA,11,63624,1,78380,2.5,9.71,78.64,1.42,18.48,13.96,28.24,14.44,15,78380,100,22112,70.92,0.23,35.07,33.29,11.99,17.34,27277,11041,12217,8460,17292,6953,4718,5151,14857,19.41,16.1,41.57,8.52,8.63,56.74,29.52,19.46,26.73,15.93,12.3,35.98,15.56,14.07,3.1,55.5,49.62,60.51,59.62,59.54,64.73,5395,8.86,3362,17.85,28.82,40.04,46.82,0.77,1.24,1.72,2.01,79.15,5.07,6.74,4.2,2.44,2.55,2.3,58.42,4.07,44.82,3,2873,91.62,55.92,9.05,42.15,1939,6.52,0.75,27500,37700,52900,25400,217,292,374,157,352,26.7,17.4,13.5,172,0,4.29,76.71,55.06,86.36,90.72,158,201.59,136,173.52,59771,76262.8,378.3,201.6,82.44,96.2,1.9,1.27,0.63,3.8,10,9,228.2,10.1,7732.5,7.29,53,8284513,86.08,10,6.33,105703.5,6,7.66,42,53.59,555,708.13,334,426.16,1521,1940.67,3362,4289.63,585,746.41,52,66.35,1195.53,7043.06
Rustoncity,LA,?,?,1,20027,2.89,33.9,63.88,1.61,1.31,29.58,46.46,34.87,9.8,0,0,17826,73.04,1.82,33.95,23.83,7.7,12.38,27707,9610,11998,5156,4138,8163,9927,5335,5036,30.26,8.95,21.53,33.99,10.69,47.49,10,40.94,9.92,34.21,5.4,55.02,9.28,7.37,3.1,65.83,58.82,77.92,70.24,64.04,68.77,1031,8.68,644,27.48,45.96,58.7,65.37,0.88,1.48,1.89,2.1,94.19,0.78,5.44,3.26,2.41,2.6,2.21,53.9,3.42,50.28,2,736,90.4,49.81,4.21,41.98,1968,8.41,0.48,40700,59100,84600,43900,185,261,326,141,329,32.5,19,12.2,0,0,3.22,69.38,40.08,60.91,86.15,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,17.9,1118.3,0.28,?,?,?,?,0,?,0,0,1,4.94,38,187.67,223,1101.34,291,1437.18,1519,7501.98,32,158.04,4,19.76,1293.95,9116.95
Richmondcity,CA,?,?,1,87425,2.67,43.76,36.18,11.83,14.52,13.22,26.57,12.67,10.49,87425,100,32165,76.1,0.48,33.3,23.99,15.69,17.29,36657,14630,20133,11156,11167,13797,9976,10696,13909,16.1,9.43,23.31,22.15,9.43,58.46,11.16,26.97,12.34,27.63,13.3,36.25,18.5,16.07,3.22,54.71,49.56,64.48,57.97,60.93,67.87,5014,7.61,13613,14.69,25.29,35.8,49.9,2.29,3.94,5.57,7.77,77.6,5,8.56,5.77,2.63,2.68,2.58,55.41,9.88,60.13,2,1783,94.84,54.47,9.87,26.02,1957,3.37,0.66,101200,144300,194000,92800,371,506,645,274,566,29.6,24.3,12.1,186,130,15.57,50.88,51.11,74.41,91.6,179,202.52,153,173.1,160000,181024.09,893.9,202.5,79.2,54.75,27.93,10.06,5.03,43.02,29,8,125,30.8,2838.8,13.14,68,13993299,85.47,10,16.2,158320.3,52,58.83,82,92.77,977,1105.38,1752,1982.21,2153,2435.91,3786,4283.48,1460,1651.85,112,126.72,3239.2,8497.95
Methuentown,MA,9,40675,1,39990,2.73,1.02,94.74,1.31,5.18,12.69,24.89,11.58,14.98,37998,95.02,37701,75.95,0.54,44.43,32.69,6.21,19.94,44901,15598,15945,12837,17918,12791,6282,7289,2842,7.2,11.58,26.02,18.99,7.65,60.97,26.17,22.21,14.29,28.66,6.43,30.25,9.26,7.94,3.2,77.91,74.23,85.28,76.74,66.94,72.38,654,2.15,2901,6.93,10.69,18.41,25.23,0.5,0.78,1.34,1.83,82.55,2.85,5.35,3.97,2.69,2.88,2.25,74.19,2.08,42.75,3,794,94.86,69.2,2.02,31.49,1959,1.9,0.1,126000,151300,178800,52800,328,517,615,287,567,26,23.5,14.3,0,0,7.25,79.82,65.72,90.23,94.71,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,23.2,1722.8,1.8,?,?,?,?,0,?,2,4.86,20,48.56,43,104.4,85,206.38,258,626.41,1003,2435.23,659,1600.02,8,19.42,364.19,4681.09
Florissantcity,MO,?,?,1,51206,2.67,4.06,95.02,0.52,0.96,11.99,25.49,11.43,12.5,51206,100,36809,81.92,0.63,53.17,27,3.13,21.07,41653,14914,15014,12346,22135,15347,16958,14330,1657,3.29,7.89,19.75,16.32,3.5,65.89,23.61,19.66,12.05,24.92,7.52,26.27,10.63,9.17,3.06,80.26,78.25,91.2,83.66,66.17,71.67,531,1.26,698,12.18,12.18,17.91,23.5,0.17,0.17,0.24,0.32,96.94,0.38,3.64,2.76,2.61,2.75,2.12,82.95,1.36,31.13,3,620,96.87,78.99,0.16,20.65,1961,0.28,0.27,59900,67200,74500,14600,358,411,494,136,492,24.3,15.6,11.4,0,0,1.36,75.1,67.8,87.48,93.14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.6,4843.5,1.02,?,?,?,?,0,?,0,0,6,11.57,37,71.37,50,96.44,205,395.4,1055,2034.87,108,208.31,11,21.22,179.38,2659.8
WestFargocity,ND,17,84780,1,12287,2.77,0.1,98.54,0.21,0.72,15.72,28.99,13.12,5.31,12287,100,29661,88.74,1.74,37.71,16.86,3.85,7.64,33274,11389,11444,700,8964,888,10044,12176,911,7.44,7.3,14.45,14.91,4.1,78.26,11.37,20.77,14.69,18.74,7.9,28.37,12.01,9.98,3.28,79.91,81.08,93.35,81.56,81.02,86.43,113,1.29,100,0,0,0,7,0,0,0,0.06,96.38,0.36,3.47,2.62,2.77,3.15,2.11,72.53,2.14,41.43,3,144,96.85,63.93,1.39,24.31,1973,1.94,0.15,51500,64000,76100,24600,229,298,347,118,338,23.4,21.3,12.7,0,0,0.81,65.68,51.87,80.82,89.87,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.3,1674.9,0.05,?,?,?,?,0,?,0,0,4,28.91,0,0,2,14.46,72,520.42,344,2486.45,29,209.61,6,43.37,43.37,3259.85
Douglascity,AZ,?,?,1,12822,3.2,1.07,71.46,0.47,83.47,18.62,28,14.12,12.89,0,0,14994,59.71,1.52,23.39,37.41,19.94,21.82,17147,6619,7375,1443,1657,16243,4710,4946,5512,43.13,36.43,51.9,9.47,19.22,40.11,12.71,22.95,12.13,20.53,7.89,31.2,12.84,10.6,3.66,63.83,56.55,69.14,66.1,43.03,52.44,666,5,4425,16.07,25.27,31.14,37.38,5.55,8.72,10.75,12.9,19.63,18.63,14.54,11.49,3.17,3.2,3.12,63.79,11.92,44.25,3,316,92.7,63.15,4.11,43.99,1952,13.44,1.03,31300,45700,63100,31800,115,207,288,173,273,29.6,22.9,13.6,0,0,34.29,46.66,55.97,78.65,84.96,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.9,2616.7,0.17,?,?,?,?,0,?,0,0,0,0,5,35.15,18,126.54,157,1103.69,677,4759.23,141,991.21,0,0,161.69,6854.13
Selmacity,AL,?,?,1,23755,2.72,58.44,41,0.43,0.29,16.96,27.15,13.5,13.84,0,0,15917,64.31,0.73,23.41,36.45,19.72,14.93,20385,8844,14108,5143,913,16380,0,5584,8233,35.71,16.59,39.46,15.59,10.89,46.94,23.33,28.76,21.95,25.57,10.73,34.3,15.26,13.35,3.3,50.33,42.57,56.43,54.01,59.79,61.43,3044,13.18,153,48.37,57.52,57.52,73.86,0.31,0.37,0.37,0.48,97.1,0.51,8.5,5.88,2.64,2.63,2.65,53.23,5.78,44.17,3,825,91.37,53.35,2.91,49.21,1963,11.5,1.92,31400,45500,66000,34600,99,161,236,137,264,29.1,17.8,13.7,28,0,0.64,86.06,58.4,87.29,94.14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,14.4,1647.8,0.29,?,?,?,?,0,?,8,32.2,39,156.97,84,338.1,681,2740.99,590,2374.72,1846,7430.07,131,527.27,?,?,3268.26,?
Nortoncity,OH,153,57260,1,11475,2.8,1.04,98.41,0.38,0.45,13.65,23.21,11.2,12.88,11475,100,34198,75.95,0.34,48.68,30.6,4.19,20.1,37299,13836,13746,19793,22310,20233,0,0,617,5.4,6.47,22.93,14.11,5.33,60.94,25.2,19.33,15.91,24.93,6.89,22.94,7.93,7.42,3.13,85.26,81.48,89.18,88.88,59.93,65.29,46,0.52,183,14.21,14.21,14.21,14.21,0.23,0.23,0.23,0.23,95.53,0.9,4.25,3.51,2.8,2.82,2.58,90.67,1.42,22.63,3,113,97.32,89.9,6.19,58.41,1957,1.12,0.33,52800,68000,85800,33000,242,325,388,146,441,23.4,16.6,12.9,0,0,1.59,78.51,63.38,88.95,95.13,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20.8,552.6,0.27,?,?,?,?,0,?,0,0,0,0,5,42.25,15,126.74,68,574.57,241,2036.33,10,84.5,4,33.8,168.99,2729.19
Missioncity,TX,?,?,1,28653,3.45,0.16,75.37,0.15,80.08,18.57,29.66,14.96,13.32,28653,100,17489,66.89,1.91,27.75,37.11,16.45,15.65,19304,6887,7587,11243,34652,480,4549,5133,10670,37.33,34.49,47.39,12.19,12.14,44.13,9.34,24.56,15.48,19.89,4.96,28.75,9.58,7.43,3.8,74.52,68.65,80.79,77.7,48.72,54.71,496,1.85,6280,12.52,17.8,24.55,35.08,2.74,3.9,5.38,7.69,25.82,18.2,16.61,14.03,3.42,3.37,3.54,70.55,21.68,59.38,2,2343,78.02,71.55,2.6,24.29,1977,11.46,2.39,26200,40100,59800,33600,99,182,271,172,247,27.4,21.6,12.7,0,0,21.92,58.8,61.69,86.23,91.26,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,14.4,1990.9,0.42,?,?,?,?,0,?,0,0,2,5.11,12,30.64,56,143,456,1164.45,1562,3988.76,202,515.83,16,40.86,178.75,5709.91
Middletownship,NJ,9,45810,1,14771,2.76,13.09,84.93,1.09,1.5,11.56,22.94,10.34,15.89,0,0,30524,75.38,1.04,40.87,33.83,5.91,19.68,34292,13547,14339,8240,18105,17324,5722,5110,1120,7.99,11.19,30.12,11.83,7.94,56.19,6,27.17,13.8,18.46,9.47,25.18,10.83,10.19,3.11,76.66,71.83,84.24,76.11,66.45,74.25,545,4.4,439,9.11,32.8,38.04,43.96,0.27,0.97,1.13,1.31,94.25,0.48,5.57,4.04,2.63,2.62,2.65,81.88,2.73,46.93,3,1624,76.7,82.01,3.2,58.99,1968,3.06,0.69,70100,93800,133300,63200,370,470,560,190,546,25.3,24,13.5,27,0,2.97,55.54,56.46,83.91,90.08,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,73.8,200,1.23,?,?,?,?,0,?,0,0,10,66.14,3,19.84,22,145.5,162,1071.43,428,2830.69,15,99.21,4,26.46,231.48,4027.78
MountLaureltownship,NJ,5,49020,1,30270,2.56,5.97,90.82,2.63,1.65,10.94,25.55,10.35,9.28,28209,93.19,50843,88.27,0.54,57.24,17.44,1.47,13.62,57347,23248,23110,21232,25762,34192,8459,16332,595,1.99,2.69,10.1,37.11,2.55,72.68,14.33,24.19,5.97,40.23,7.53,26.22,10.71,9.21,3.03,84.86,83.56,96.07,80,57.23,69.33,112,0.56,1439,9.1,10.08,18.14,24.32,0.43,0.48,0.86,1.16,93.1,0.44,3.31,2.37,2.53,2.62,2.12,84.8,0.64,46.67,3,769,93.9,81.9,0.91,21.07,1983,0.3,0.19,115600,149000,190400,74800,584,654,722,138,758,24.4,22.5,13.5,0,0,4.75,39.49,45.29,68.41,82.68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,22.6,1339.6,3.5,?,?,?,?,0,?,0,0,4,12.91,10,32.27,18,58.09,200,645.49,383,1236.12,81,261.43,2,6.45,103.28,2149.5
Greeleycity,CO,?,?,1,60536,2.67,0.67,89.1,1,20.36,19.66,34.21,21.15,9.64,60359,99.71,23462,78.96,1.67,39.17,22.71,7.57,11.84,30705,11461,12074,7642,5856,7764,6256,6306,11044,19.46,11.86,23.42,25.08,5.67,62.52,14.58,27.47,14.39,25.88,9.55,35.98,12.5,11.09,3.09,72.39,68.92,74.4,73.49,62.25,71.54,1129,2.67,2852,20.02,34.29,43.48,53.33,0.94,1.62,2.05,2.51,85.45,3.06,5,3.36,2.5,2.69,2.29,57.84,3.76,47.95,3,1344,94.4,53.86,1.79,29.91,1970,5.96,0.24,56200,70400,91500,35300,237,314,396,159,354,27.4,21.8,12.4,107,0,4.71,50.46,38.95,69.03,84.29,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,29.4,2057.1,0.67,?,?,?,?,0,?,3,4.56,20,30.4,25,38,86,130.73,675,1026.05,3352,5095.31,171,259.93,41,62.32,203.69,6443.62
CostaMesacity,CA,?,?,1,96357,2.57,1.33,84.31,6.56,20.05,12.14,33.06,15.62,7.44,96357,100,40313,86.31,0.71,40.97,15.87,4.31,10.28,45266,18750,20021,17796,12403,14690,8317,8682,8614,9.17,7.4,16.52,27.26,4.17,74.47,19.19,19.72,9.72,30.69,12.48,42.3,17.63,15,3.08,71.03,67.31,84.89,70.11,65.53,70.72,1706,3.12,20787,21.97,35.55,46.07,58.33,4.74,7.67,9.94,12.58,73.97,8.08,8.6,5.1,2.51,2.6,2.45,41.65,9.87,62.61,2,2144,94.59,40.17,0.7,6.86,1968,1.62,0.5,211300,257000,313900,102600,651,759,921,270,810,28.6,24.3,11.3,225,26,21.57,42.58,38.03,73.97,83.94,141,142.54,129,130.41,64391,65092.7,456.7,142.5,84.46,76.51,1.81,3.61,3.01,7.23,9,9,15.7,16.1,5980.4,3.03,52,10448205,91.49,5,6.38,105620.6,5,5.05,30,30.33,184,186.01,225,227.45,1250,1263.62,4918,4971.59,975,985.63,26,26.28,448.84,7247.12
LosAlamitoscity,CA,?,?,1,11676,2.84,3,84.87,7.18,12.5,13.9,30.28,14.04,8.7,11676,100,45171,85.19,0.9,48.9,18.88,2.3,15.78,47353,19361,19841,11200,21284,20012,14579,13766,495,4.38,5.09,14.1,29.3,4.24,68.04,16.72,24.11,9.11,35.41,10.67,33.88,15.95,13.42,3.14,72.58,72.9,89.54,81.26,57.82,68.55,159,2.07,1422,8.58,16.88,30.03,34.53,1.04,2.06,3.66,4.21,82.39,1.42,5.56,3.99,2.74,2.82,2.68,44.41,5.81,52.98,2,166,96.12,43.23,3.01,12.65,1967,0.8,0.37,237300,296400,371700,134400,670,780,920,250,829,26.4,20.3,11.4,23,0,12.18,44.84,44.21,61.48,83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.2,2798.7,0.15,?,?,?,?,0,?,0,0,3,24.85,18,149.09,22,182.22,143,1184.46,279,2310.94,101,836.58,17,140.81,356.17,4472.79
SouthOrangeVillagetownship,NJ,13,69274,1,16390,3.17,18.69,76.63,3.42,3.27,22.12,33.08,22.43,11.56,16390,100,64338,85.12,0.45,61.11,27.67,2.1,14.6,78338,30465,32613,23417,6689,28922,8649,14173,425,3.03,3.25,9.98,53.09,3.64,65.49,7.81,38.43,6.06,49.22,5.01,43.96,7.96,6.55,3.21,84.96,82.74,96.94,83,62.3,73.48,134,1.38,1956,10.17,17.64,22.09,28.43,1.21,2.1,2.64,3.39,84.89,1.27,6.46,4.77,2.73,3,1.9,82.54,1.26,29.12,3,310,94.35,75.01,0.32,24.52,1939,0.87,0.56,179400,234700,331800,152400,551,656,868,317,716,28.5,24.1,14.1,0,0,11.93,49.81,58.51,72.2,84.98,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3,5529.7,14.68,?,?,?,?,0,?,0,0,2,12.01,82,492.26,28,168.09,224,1344.7,498,2989.55,496,2977.55,0,0,672.35,7311.8
RedBluffcity,CA,?,?,1,12363,2.57,0.56,91.22,1.06,8.95,13.44,26.6,12.16,14.06,0,0,19474,64.92,0.66,28.95,29.57,20.02,15.89,22114,9997,10369,3440,8018,7699,5381,6391,2436,20.41,8.65,21.66,10.49,9.88,48.71,21.15,20.09,20.23,17.96,12.78,25.98,19.16,16.23,3.04,63.66,60.99,63.12,69.92,42.35,53.18,353,3.38,642,16.36,24.77,32.09,46.73,0.85,1.29,1.67,2.43,91.86,2.75,4.93,3.37,2.47,2.51,2.43,50.99,6.61,59.28,2,250,95.06,50.21,0.4,33.6,1967,4.53,0.4,49900,59700,74600,24700,224,291,356,132,356,28.4,21.9,13,31,6,5.19,62.02,43.85,71.77,90.59,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7.5,1641.4,0,?,?,?,?,0,?,0,0,6,44.94,16,119.84,109,816.42,106,793.95,769,5759.87,75,561.76,9,67.41,981.2,7182.98
Plainfieldtown,IN,?,?,1,10433,2.51,0.44,98.73,0.41,0.4,11.98,24.63,11.31,13.56,0,0,34466,79.59,1.91,45.51,26.84,3.1,18.15,40134,15307,15319,16762,8998,10000,0,8881,472,4.59,3.42,15.5,18.85,2.43,67.82,13.53,22.77,12.69,27.15,8.75,20.95,12.55,10.8,2.96,79.63,78.71,91.86,76.74,66.3,75.54,55,0.66,83,26.51,26.51,26.51,26.51,0.21,0.21,0.21,0.21,97.92,0.4,2.37,1.71,2.47,2.65,2.11,71.61,1.01,42.88,3,143,96.68,66.78,0,27.97,1966,3.7,0.63,54600,69100,90100,35500,266,362,432,166,453,22.6,17.3,11.6,0,0,0.8,70.71,48.8,70.65,89.48,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.9,2705.7,0.11,?,?,?,?,0,?,0,0,7,44.38,2,12.68,21,133.15,69,437.48,328,2079.63,23,145.83,2,12.68,190.21,2675.63
Fredericksburgcity,VA,630,29744,1,19027,2.55,21.63,76.04,1.08,2.43,20.99,38.98,25.15,12.07,19027,100,26614,78.27,0.48,37.01,28.61,5.7,14.93,33353,13825,15390,9103,10031,6877,6980,9942,2049,12.29,11.51,26.25,26.07,3.32,61.46,7.18,26.58,12.17,28.31,12.35,40.56,13.4,12.93,2.91,62.35,58.27,74.79,65.39,65.1,74.18,790,6.71,550,28.36,33.82,42.73,55.27,0.82,0.98,1.24,1.6,95.38,1.04,4.3,2.47,2.24,2.41,2.13,40.13,2.71,62.83,2,613,92.4,37.3,3.43,22.02,1964,8.78,0.42,78000,104900,157500,79500,363,461,523,160,530,27.2,20.6,12.4,13,60,2.89,58.25,40.95,53.34,82.58,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.9,1746.9,2.15,?,?,?,?,0,?,1,4.47,9,40.21,27,120.63,63,281.46,102,455.7,631,2819.1,32,142.97,12,53.61,446.77,3471.38
Colleyvillecity,TX,?,?,1,12724,3.11,0.67,96.74,1.71,2.26,15.97,21.16,10.79,4.11,12724,100,77530,92.92,1.9,60.18,9.48,1.53,12.08,80541,31967,31742,42375,34822,46973,2897,10510,159,1.25,2.33,6.98,45.54,3.12,70.71,14.28,18.59,4.67,43.05,4.62,19.78,5.68,5.15,3.27,93.6,90.88,96.75,96.08,53.32,58.75,32,0.38,435,22.76,29.89,33.79,42.53,0.78,1.02,1.16,1.45,95.08,0.52,3.93,3.57,3.11,3.12,2.85,94.82,0.95,7.31,4,215,95.01,94.36,0.47,44.65,1982,0.2,0,129900,187900,283500,153600,370,496,733,363,647,23.6,22.7,12.2,0,0,3.42,44.35,41.63,64.23,73.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13.6,937,0.27,?,?,?,?,0,?,0,0,1,5.29,1,5.29,4,21.17,31,164.04,229,1211.77,8,42.33,1,5.29,31.75,1423.43
Pittsburgcity,CA,?,?,1,47564,3.04,17.58,58.6,12.18,23.73,13.97,29.12,13.19,7.12,47564,100,38532,82.87,0.61,31.39,20.03,12.03,14.42,41512,13686,15469,10521,10818,13750,9111,10286,5071,10.79,10.56,23.51,14.35,7,64.56,14.11,18.47,13.94,20.46,10.58,31.2,14.28,12.46,3.44,71.49,66.23,80.69,76.1,59.39,65.81,1742,5.04,8899,19.11,29.16,41.56,51.55,3.58,5.46,7.77,9.64,71.46,6.29,10.13,7.74,3.02,3.11,2.88,63.21,11.08,43.52,3,1066,93.62,61.4,6.85,13.7,1975,3.61,0.57,106700,138900,165800,59100,409,566,675,266,622,27.1,25.9,12.9,130,33,18.71,53.33,44.42,75.07,88.89,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11.3,4222.7,4.53,?,?,?,?,0,?,2,3.82,18,34.42,199,380.52,235,449.36,899,1719.03,1353,2587.15,263,502.9,18,34.42,868.12,4843.49
MissionViejocity,CA,?,?,1,72820,2.89,0.93,90.3,6.25,7.71,14.31,24.75,11.58,7.47,72820,100,61058,87.49,0.49,56.07,15.65,1.79,13.66,64690,24160,24844,19738,18175,18151,15757,17938,1420,1.96,1.38,6.33,39.1,2.9,72.49,18.78,22.33,5.18,39.89,7,25.83,10.77,8.93,3.2,85.98,85.36,94.05,87.05,55.4,65.83,285,0.63,9128,12.71,18.42,30.12,38.21,1.59,2.31,3.78,4.79,85.41,1.73,4.61,3.75,2.88,2.93,2.69,81.35,2.89,30.22,3,1219,95.38,80,0.08,24.77,1978,0.22,0.28,211200,254500,323000,111800,719,916,1001,282,969,30.1,27.2,11.8,0,0,12.54,41.58,41.92,72.76,83.65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,18.1,4027.7,0.62,?,?,?,?,0,?,3,3.56,13,15.43,32,37.99,142,168.58,687,815.59,1539,1827.05,220,261.18,35,41.55,225.56,2945.37
LongBeachcity,CA,?,?,1,429433,2.7,13.68,58.38,13.57,23.62,13.82,31.13,15.56,9.56,429433,100,31938,77.65,0.52,35.44,21.04,11.35,13.73,36305,15639,20334,10518,12658,9544,6860,7758,69694,16.82,11.53,24.49,23.22,6.54,62.93,20.42,22.77,13.21,28.85,11.64,41.43,15.94,13.78,3.36,64.25,60.26,71.53,67.31,50.26,57.56,20207,7.4,104150,19.87,31.62,45.72,61.08,4.82,7.67,11.09,14.81,67.24,9.81,11.98,7.18,2.61,2.55,2.65,40.03,16.49,74.38,2,11413,93.3,40.96,3.39,16.67,1955,4.28,0.73,168700,222900,292600,123900,435,551,694,259,605,30,25.1,11.4,394,66,24.25,40.92,40.38,77.16,84.29,643,147.47,598,137.15,608430,139537.3,946.2,147.5,75.18,82.74,5.29,10.11,1.4,16.64,27,8,277,51.8,8287.7,6.3,192,80872872,93,5,4.2,185473.8,126,28.9,200,45.87,3717,852.46,3073,704.76,6780,1554.92,14108,3235.53,7626,1748.95,243,55.73,1631.98,6595.13
Duluthcity,MN,137,17000,1,85493,2.47,0.87,95.89,0.9,0.6,15.93,28.36,16.25,14.85,85493,100,23370,70.64,0.43,45.16,32.25,9.7,18.09,31431,12484,12733,7500,6606,7360,5762,9377,13578,16.57,6.48,18.58,22.51,7.22,55.07,8.4,33.9,11.06,28.55,9.25,35.33,12.13,10.8,2.97,69.42,69.45,76.46,73.91,58.21,69.97,1889,2.84,2063,8.73,11.05,18.95,24.19,0.21,0.27,0.46,0.58,95.27,0.51,3.17,2.09,2.36,2.58,1.94,70.69,1.35,50.05,2,1459,95.95,64.45,2.33,36.19,1939,2.79,0.29,34200,46300,65100,30900,203,287,390,187,312,29.4,15.5,12.4,303,2,2.41,75.95,54.5,81.66,92.46,125,147.44,121,142.72,45424,53578,363.4,147.4,96.69,97.6,0.8,0,0,0.8,7,9,65.4,70,1220.6,5.85,36,8403629,96.8,10,5.6,99121.6,6,7.08,?,?,53,62.51,221,260.67,859,1013.2,3266,3852.28,268,316.11,14,16.51,?,5198.1
Shelbycity,NC,?,?,1,14669,2.41,42.5,57.03,0.23,0.47,13.33,24.32,12.14,17.75,0,0,19829,71.32,0.47,28.63,36.41,12.54,14.19,25315,11889,15950,6541,0,13329,5202,6631,2747,19.27,16.77,38.97,15.76,8.57,54.03,35.81,21.38,28.15,22.8,12.19,30.17,15.68,14.2,2.96,48.59,44.02,53.46,47.37,61.56,72.71,1346,9.56,167,13.17,30.54,35.33,40.72,0.15,0.35,0.4,0.46,96.47,0.89,4.41,2.89,2.35,2.33,2.36,52.44,2.52,52.66,2,393,93.93,52.75,4.07,37.4,1960,9.54,0.49,37500,52600,77000,39500,159,229,299,140,343,27.9,22.1,13.4,17,0,1.14,79.34,53.44,87.8,93.28,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9.1,1612.7,0,?,?,?,?,0,?,3,18.67,12,74.69,70,435.68,143,890.02,454,2825.67,937,5831.83,41,255.18,7,43.57,1419.06,8956.25
